epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.957,1.3172,1.99548,1.2169,0.59958,0.79816,0.67646,0.43511,1.22419,9.89235,1.25482,0.000554699,0.000554699,0.000554699
2,224.309,1.17764,1.18136,1.14316,0.67669,0.74972,0.68736,0.47349,1.04145,5.41213,1.13198,0.00109937,0.00109937,0.00109937
3,332.82,1.10706,0.88562,1.11324,0.65133,0.85552,0.68619,0.49976,0.91898,7.62224,1.04319,0.00163304,0.00163304,0.00163304
4,432.864,1.0289,0.75186,1.0749,0.64317,0.86488,0.66488,0.49361,0.88058,7.03183,1.03194,0.00161749,0.00161749,0.00161749
5,531.178,0.96694,0.64614,1.04395,0.61475,0.88573,0.65975,0.47533,0.93936,8.30551,1.09969,0.00160099,0.00160099,0.00160099
6,633.953,0.87439,0.56469,0.99955,0.66064,0.90901,0.67741,0.50623,0.90063,8.10866,1.07141,0.00158448,0.00158448,0.00158448
7,739.803,0.83457,0.52928,0.97827,0.70032,0.7915,0.77146,0.58201,0.95829,6.91532,1.10743,0.00156798,0.00156798,0.00156798
8,845.685,0.77996,0.48621,0.95215,0.66096,0.87057,0.77791,0.59265,0.86304,7.77512,1.04017,0.00155148,0.00155148,0.00155148
9,952.21,0.75162,0.46068,0.94089,0.67409,0.8874,0.80585,0.63342,0.82743,9.5878,1.06532,0.00153497,0.00153497,0.00153497
10,1060.01,0.69277,0.43315,0.9163,0.65416,0.91346,0.70439,0.52542,0.91237,8.58182,1.12029,0.00151847,0.00151847,0.00151847
11,1166.2,0.66329,0.41886,0.90447,0.65257,0.97831,0.82276,0.63014,0.86254,7.66747,1.07524,0.00150197,0.00150197,0.00150197
12,1272.12,0.62082,0.39445,0.88785,0.64883,0.90005,0.70651,0.54891,0.85936,9.99679,1.09034,0.00148546,0.00148546,0.00148546
13,1377.7,0.59363,0.3749,0.87921,0.65765,0.94205,0.79321,0.60677,0.85595,9.08324,1.07929,0.00146896,0.00146896,0.00146896
14,1484.81,0.56997,0.36548,0.86704,0.64638,0.95675,0.67956,0.49895,0.93381,9.9242,1.14095,0.00145246,0.00145246,0.00145246
15,1590.89,0.5336,0.34681,0.85413,0.64585,0.95094,0.73729,0.5661,0.86491,10.1419,1.07897,0.00143595,0.00143595,0.00143595
