epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4404.67,0.25398,0.19547,0.7777,0.87044,0.79599,0.88418,0.62104,1.14743,0.71809,1.30458,0.000990365,0.000990365,0.000990365
43,4511.62,0.25102,0.19359,0.7767,0.84362,0.83062,0.89373,0.62125,1.15429,0.73787,1.29837,0.000973861,0.000973861,0.000973861
44,4616.67,0.2464,0.18921,0.77641,0.87195,0.8297,0.89575,0.62403,1.13086,0.70819,1.27513,0.000957358,0.000957358,0.000957358
45,4721.35,0.24582,0.18685,0.77614,0.83022,0.85348,0.89473,0.62533,1.15302,0.71639,1.30384,0.000940855,0.000940855,0.000940855
46,4825.69,0.23505,0.18199,0.77465,0.87745,0.81226,0.89811,0.6219,1.14113,0.70903,1.29466,0.000924352,0.000924352,0.000924352
47,4930.05,0.23206,0.18077,0.7738,0.85091,0.82121,0.88741,0.62032,1.14609,0.72923,1.30991,0.000907848,0.000907848,0.000907848
48,5034.6,0.22771,0.17747,0.7723,0.85473,0.81418,0.89175,0.61575,1.16547,0.7224,1.33342,0.000891345,0.000891345,0.000891345
49,5139.23,0.22675,0.17406,0.77314,0.88293,0.80547,0.89332,0.62634,1.13628,0.73239,1.30462,0.000874842,0.000874842,0.000874842
50,5243.87,0.21407,0.16812,0.77038,0.86427,0.82454,0.89472,0.61724,1.17338,0.72212,1.3412,0.000858338,0.000858338,0.000858338
51,5348.36,0.21587,0.16873,0.77011,0.86492,0.82374,0.89826,0.62087,1.14542,0.73516,1.29885,0.000841835,0.000841835,0.000841835
52,5453.07,0.21144,0.16657,0.77057,0.85952,0.82295,0.89596,0.62549,1.14061,0.73061,1.30743,0.000825332,0.000825332,0.000825332
53,5557.82,0.21324,0.16553,0.76989,0.85944,0.82167,0.89489,0.62691,1.15046,0.72465,1.32624,0.000808828,0.000808828,0.000808828
54,5660.99,0.19842,0.16047,0.76825,0.865,0.80437,0.88658,0.6189,1.14053,0.73155,1.32615,0.000792325,0.000792325,0.000792325
55,5764.6,0.19667,0.1579,0.76798,0.87814,0.79853,0.89115,0.6186,1.15153,0.73815,1.32599,0.000775822,0.000775822,0.000775822
56,5871.34,0.19576,0.15545,0.76782,0.85103,0.81339,0.88585,0.62093,1.13961,0.75226,1.31579,0.000759318,0.000759318,0.000759318
57,5974.63,0.18902,0.15153,0.76705,0.86698,0.81001,0.8871,0.62319,1.13823,0.73286,1.31809,0.000742815,0.000742815,0.000742815
58,6077.81,0.18746,0.15003,0.76623,0.85473,0.82751,0.88788,0.62604,1.12712,0.7553,1.31051,0.000726312,0.000726312,0.000726312
59,6181.24,0.18463,0.14765,0.76679,0.87384,0.8065,0.89518,0.62428,1.14939,0.73318,1.33048,0.000709809,0.000709809,0.000709809
60,6284.72,0.18329,0.14611,0.76637,0.86263,0.81343,0.89184,0.6295,1.14216,0.74581,1.32302,0.000693305,0.000693305,0.000693305
61,6388.4,0.17985,0.14392,0.76452,0.87771,0.81355,0.89512,0.62271,1.15353,0.75792,1.33058,0.000676802,0.000676802,0.000676802
